Value,Database
19.661000,Redis
17.366867,Redis
18.029288,Redis
18.113680,Redis
17.658070,Redis
18.099556,Redis
18.001254,Redis
17.927867,Redis
18.345928,Redis
18.528229,Redis
7.311384,MySQL
6.136902,MySQL
7.478401,MySQL
6.112999,MySQL
5.774605,MySQL
5.912865,MySQL
6.083699,MySQL
6.210744,MySQL
5.804001,MySQL
6.096189,MySQL
37.543723,MySQL-wc
35.964659,MySQL-wc
37.088059,MySQL-wc
36.238845,MySQL-wc
35.273672,MySQL-wc
36.837684,MySQL-wc
36.121267,MySQL-wc
35.906164,MySQL-wc
36.675781,MySQL-wc
37.553876,MySQL-wc
